% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
9 0 20 110 0
9 1 21 111 0
9 2 19 110 0
9 3 18 115 0
9 4 15 120 0
10 0 20 110 0
10 1 21 111 0
10 2 19 110 0
10 3 18 115 0
10 4 15 120 0
11 0 20 110 0
11 1 21 111 0
11 2 19 110 0
11 3 18 115 0
11 4 15 120 0
12 0 20 110 0
12 1 21 111 0
12 2 19 110 0
12 3 18 115 0
12 4 15 120 0
13 0 20 110 0
13 1 21 111 0
13 2 19 110 0
13 3 18 115 0
13 4 15 120 0
14 0 20 110 0
14 1 21 111 0
14 2 19 110 0
14 3 18 115 0
14 4 15 120 0
15 0 20 110 0
15 1 21 111 0
15 2 19 110 0
15 3 18 115 0
15 4 15 120 0
16 0 20 110 0
16 1 21 111 0
16 2 19 110 0
16 3 18 115 0
16 4 15 120 0
17 0 20 110 0
17 1 21 111 0
17 2 19 110 0
17 3 18 115 0
17 4 15 120 0
18 0 20 110 0
18 1 21 111 0
18 2 19 110 0
18 3 18 115 0
18 4 15 120 0
19 0 20 110 0
19 1 21 111 0
19 2 19 110 0
19 3 18 115 0
19 4 15 120 0
20 0 20 110 0
20 1 21 111 0
20 2 19 110 0
20 3 18 115 0
20 4 15 120 0
21 0 20 110 0
21 1 21 111 0
21 2 19 110 0
21 3 18 115 0
21 4 15 120 0
22 0 20 110 0
22 1 21 111 0
22 2 19 110 0
22 3 18 115 0
22 4 15 120 0
23 0 20 110 0
23 1 21 111 0
23 2 19 110 0
23 3 18 115 0
23 4 15 120 0
24 0 20 110 0
24 1 21 111 0
24 2 19 110 0
24 3 18 115 0
24 4 15 120 0
25 0 20 110 0
25 1 21 111 0
25 2 19 110 0
25 3 18 115 0
25 4 15 120 0
26 0 20 110 0
26 1 21 111 0
26 2 19 110 0
26 3 18 115 0
26 4 15 120 0
27 0 20 110 0
27 1 21 111 0
27 2 19 110 0
27 3 18 115 0
27 4 15 120 0
28 0 20 110 0
28 1 21 111 0
28 2 19 110 0
28 3 18 115 0
28 4 15 120 0
29 0 20 110 0
29 1 21 111 0
29 2 19 110 0
29 3 18 115 0
29 4 15 120 0
30 0 20 110 0
30 1 21 111 0
30 2 19 110 0
30 3 18 115 0
30 4 15 120 0
31 0 20 110 0
31 1 21 111 0
31 2 19 110 0
31 3 18 115 0
31 4 15 120 0
32 0 20 110 0
32 1 21 111 0
32 2 19 110 0
32 3 18 115 0
32 4 15 120 0
33 0 20 110 0
33 1 21 111 0
33 2 19 110 0
33 3 18 115 0
33 4 15 120 0
34 0 20 110 0
34 1 21 111 0
34 2 19 110 0
34 3 18 115 0
34 4 15 120 0
35 0 20 110 0
35 1 21 111 0
35 2 19 110 0
35 3 18 115 0
35 4 15 120 0
36 0 20 110 0
36 1 21 111 0
36 2 19 110 0
36 3 18 115 0
36 4 15 120 0
37 0 20 110 0
37 1 21 111 0
37 2 19 110 0
37 3 18 115 0
37 4 15 120 0
38 0 20 110 0
38 1 21 111 0
38 2 19 110 0
38 3 18 115 0
38 4 15 120 0
39 0 20 110 0
39 1 21 111 0
39 2 19 110 0
39 3 18 115 0
39 4 15 120 0
40 0 20 110 0
40 1 21 111 0
40 2 19 110 0
40 3 18 115 0
40 4 15 120 0
41 0 20 110 0
41 1 21 111 0
41 2 19 110 0
41 3 18 115 0
41 4 15 120 0
42 0 20 110 0
42 1 21 111 0
42 2 19 110 0
42 3 18 115 0
42 4 15 120 0
43 0 20 110 0
43 1 21 111 0
43 2 19 110 0
43 3 18 115 0
43 4 15 120 0
44 0 20 110 0
44 1 21 111 0
44 2 19 110 0
44 3 18 115 0
44 4 15 120 0
45 0 20 110 0
45 1 21 111 0
45 2 19 110 0
45 3 18 115 0
45 4 15 120 0
46 0 20 110 0
46 1 21 111 0
46 2 19 110 0
46 3 18 115 0
46 4 15 120 0
47 0 20 110 0
47 1 21 111 0
47 2 19 110 0
47 3 18 115 0
47 4 15 120 0
48 0 20 110 0
48 1 21 111 0
48 2 19 110 0
48 3 18 115 0
48 4 15 120 0
49 0 20 110 0
49 1 21 111 0
49 2 19 110 0
49 3 18 115 0
49 4 15 120 0
50 0 20 110 0
50 1 21 111 0
50 2 19 110 0
50 3 18 115 0
50 4 15 120 0
51 0 20 110 0
51 1 21 111 0
51 2 19 110 0
51 3 18 115 0
51 4 15 120 0
52 0 20 110 0
52 1 21 111 0
52 2 19 110 0
52 3 18 115 0
52 4 15 120 0
53 0 20 110 0
53 1 21 111 0
53 2 19 110 0
53 3 18 115 0
53 4 15 120 0
54 0 20 110 0
54 1 21 111 0
54 2 19 110 0
54 3 18 115 0
54 4 15 120 0
55 0 20 110 0
55 1 21 111 0
55 2 19 110 0
55 3 18 115 0
55 4 15 120 0
56 0 20 110 0
56 1 21 111 0
56 2 19 110 0
56 3 18 115 0
56 4 15 120 0
57 0 20 110 0
57 1 21 111 0
57 2 19 110 0
57 3 18 115 0
57 4 15 120 0
58 0 20 110 0
58 1 21 111 0
58 2 19 110 0
58 3 18 115 0
58 4 15 120 0
59 0 20 110 0
59 1 21 111 0
59 2 19 110 0
59 3 18 115 0
59 4 15 120 0
60 0 20 110 0
60 1 21 111 0
60 2 19 110 0
60 3 18 115 0
60 4 15 120 0
61 0 20 110 0
61 1 21 111 0
61 2 19 110 0
61 3 18 115 0
61 4 15 120 0
62 0 20 110 0
62 1 21 111 0
62 2 19 110 0
62 3 18 115 0
62 4 15 120 0
63 0 20 110 0
63 1 21 111 0
63 2 19 110 0
63 3 18 115 0
63 4 15 120 0
64 0 20 110 0
64 1 21 111 0
64 2 19 110 0
64 3 18 115 0
64 4 15 120 0
65 0 20 110 0
65 1 21 111 0
65 2 19 110 0
65 3 18 115 0
65 4 15 120 0
66 0 20 110 0
66 1 21 111 0
66 2 19 110 0
66 3 18 115 0
66 4 15 120 0
67 0 20 110 0
67 1 21 111 0
67 2 19 110 0
67 3 18 115 0
67 4 15 120 0
68 0 20 110 0
68 1 21 111 0
68 2 19 110 0
68 3 18 115 0
68 4 15 120 0
69 0 20 110 0
69 1 21 111 0
69 2 19 110 0
69 3 18 115 0
69 4 15 120 0
70 0 20 110 0
70 1 21 111 0
70 2 19 110 0
70 3 18 115 0
70 4 15 120 0
71 0 20 110 0
71 1 21 111 0
71 2 19 110 0
71 3 18 115 0
71 4 15 120 0
72 0 20 110 0
72 1 21 111 0
72 2 19 110 0
72 3 18 115 0
72 4 15 120 0
73 0 20 110 0
73 1 21 111 0
73 2 19 110 0
73 3 18 115 0
73 4 15 120 0
74 0 20 110 0
74 1 21 111 0
74 2 19 110 0
74 3 18 115 0
74 4 15 120 0
75 0 20 110 0
75 1 21 111 0
75 2 19 110 0
75 3 18 115 0
75 4 15 120 0
76 0 20 110 0
76 1 21 111 0
76 2 19 110 0
76 3 18 115 0
76 4 15 120 0
77 0 20 110 0
77 1 21 111 0
77 2 19 110 0
77 3 18 115 0
77 4 15 120 0
78 0 20 110 0
78 1 21 111 0
78 2 19 110 0
78 3 18 115 0
78 4 15 120 0
79 0 20 110 0
79 1 21 111 0
79 2 19 110 0
79 3 18 115 0
79 4 15 120 0
80 0 20 110 0
80 1 21 111 0
80 2 19 110 0
80 3 18 115 0
80 4 15 120 0
81 0 20 110 0
81 1 21 111 0
81 2 19 110 0
81 3 18 115 0
81 4 15 120 0
82 0 20 110 0
82 1 21 111 0
82 2 19 110 0
82 3 18 115 0
82 4 15 120 0
83 0 20 110 0
83 1 21 111 0
83 2 19 110 0
83 3 18 115 0
83 4 15 120 0
84 0 20 110 0
84 1 21 111 0
84 2 19 110 0
84 3 18 115 0
84 4 15 120 0
85 0 20 110 0
85 1 21 111 0
85 2 19 110 0
85 3 18 115 0
85 4 15 120 0
86 0 20 110 0
86 1 21 111 0
86 2 19 110 0
86 3 18 115 0
86 4 15 120 0
87 0 20 110 0
87 1 21 111 0
87 2 19 110 0
87 3 18 115 0
87 4 15 120 0
88 0 20 110 0
88 1 21 111 0
88 2 19 110 0
88 3 18 115 0
88 4 15 120 0
89 0 20 110 0
89 1 21 111 0
89 2 19 110 0
89 3 18 115 0
89 4 15 120 0
90 0 20 110 0
90 1 21 111 0
90 2 19 110 0
90 3 18 115 0
90 4 15 120 0
91 0 20 110 0
91 1 21 111 0
91 2 19 110 0
91 3 18 115 0
91 4 15 120 0
92 0 20 110 0
92 1 21 111 0
92 2 19 110 0
92 3 18 115 0
92 4 15 120 0
93 0 20 110 0
93 1 21 111 0
93 2 19 110 0
93 3 18 115 0
93 4 15 120 0
94 0 20 110 0
94 1 21 111 0
94 2 19 110 0
94 3 18 115 0
94 4 15 120 0
95 0 20 110 0
95 1 21 111 0
95 2 19 110 0
95 3 18 115 0
95 4 15 120 0
96 0 20 110 0
96 1 21 111 0
96 2 19 110 0
96 3 18 115 0
96 4 15 120 0
97 0 20 110 0
97 1 21 111 0
97 2 19 110 0
97 3 18 115 0
97 4 15 120 0
98 0 20 110 0
98 1 21 111 0
98 2 19 110 0
98 3 18 115 0
98 4 15 120 0
99 0 20 110 0
99 1 21 111 0
99 2 19 110 0
99 3 18 115 0
99 4 15 120 0
% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
1 0 20 110 0
1 1 21 111 0
1 2 19 110 0
1 3 18 115 0
1 4 15 120 0
2 0 20 110 0
2 1 21 111 0
2 2 19 110 0
2 3 18 115 0
2 4 15 120 0
3 0 20 110 0
3 1 21 111 0
3 2 19 110 0
3 3 18 115 0
3 4 15 120 0
4 0 20 110 0
4 1 21 111 0
4 2 19 110 0
4 3 18 115 0
4 4 15 120 0
5 0 20 110 0
5 1 21 111 0
5 2 19 110 0
5 3 18 115 0
5 4 15 120 0
6 0 20 110 0
6 1 21 111 0
6 2 19 110 0
6 3 18 115 0
6 4 15 120 0
7 0 20 110 0
7 1 21 111 0
7 2 19 110 0
7 3 18 115 0
7 4 15 120 0
8 0 20 110 0
8 1 21 111 0
8 2 19 110 0
8 3 18 115 0
8 4 15 120 0
9 0 20 110 0
9 1 21 111 0
9 2 19 110 0
9 3 18 115 0
9 4 15 120 0
10 0 20 110 0
10 1 21 111 0
10 2 19 110 0
10 3 18 115 0
10 4 15 120 0
11 0 20 110 0
11 1 21 111 0
11 2 19 110 0
11 3 18 115 0
11 4 15 120 0
12 0 20 110 0
12 1 21 111 0
12 2 19 110 0
12 3 18 115 0
12 4 15 120 0
13 0 20 110 0
13 1 21 111 0
13 2 19 110 0
13 3 18 115 0
13 4 15 120 0
14 0 20 110 0
14 1 21 111 0
14 2 19 110 0
14 3 18 115 0
14 4 15 120 0
15 0 20 110 0
15 1 21 111 0
15 2 19 110 0
15 3 18 115 0
15 4 15 120 0
16 0 20 110 0
16 1 21 111 0
16 2 19 110 0
16 3 18 115 0
16 4 15 120 0
17 0 20 110 0
17 1 21 111 0
17 2 19 110 0
17 3 18 115 0
17 4 15 120 0
18 0 20 110 0
18 1 21 111 0
18 2 19 110 0
18 3 18 115 0
18 4 15 120 0
19 0 20 110 0
19 1 21 111 0
19 2 19 110 0
19 3 18 115 0
19 4 15 120 0
20 0 20 110 0
20 1 21 111 0
20 2 19 110 0
20 3 18 115 0
20 4 15 120 0
21 0 20 110 0
21 1 21 111 0
21 2 19 110 0
21 3 18 115 0
21 4 15 120 0
22 0 20 110 0
22 1 21 111 0
22 2 19 110 0
22 3 18 115 0
22 4 15 120 0
23 0 20 110 0
23 1 21 111 0
23 2 19 110 0
23 3 18 115 0
23 4 15 120 0
24 0 20 110 0
24 1 21 111 0
24 2 19 110 0
24 3 18 115 0
24 4 15 120 0
25 0 20 110 0
25 1 21 111 0
25 2 19 110 0
25 3 18 115 0
25 4 15 120 0
26 0 20 110 0
26 1 21 111 0
26 2 19 110 0
26 3 18 115 0
26 4 15 120 0
27 0 20 110 0
27 1 21 111 0
27 2 19 110 0
27 3 18 115 0
27 4 15 120 0
28 0 20 110 0
28 1 21 111 0
28 2 19 110 0
28 3 18 115 0
28 4 15 120 0
29 0 20 110 0
29 1 21 111 0
29 2 19 110 0
29 3 18 115 0
29 4 15 120 0
30 0 20 110 0
30 1 21 111 0
30 2 19 110 0
30 3 18 115 0
30 4 15 120 0
31 0 20 110 0
31 1 21 111 0
31 2 19 110 0
31 3 18 115 0
31 4 15 120 0
32 0 20 110 0
32 1 21 111 0
32 2 19 110 0
32 3 18 115 0
32 4 15 120 0
33 0 20 110 0
33 1 21 111 0
33 2 19 110 0
33 3 18 115 0
33 4 15 120 0
34 0 20 110 0
34 1 21 111 0
34 2 19 110 0
34 3 18 115 0
34 4 15 120 0
35 0 20 110 0
35 1 21 111 0
35 2 19 110 0
35 3 18 115 0
35 4 15 120 0
36 0 20 110 0
36 1 21 111 0
36 2 19 110 0
36 3 18 115 0
36 4 15 120 0
37 0 20 110 0
37 1 21 111 0
37 2 19 110 0
37 3 18 115 0
37 4 15 120 0
38 0 20 110 0
38 1 21 111 0
38 2 19 110 0
38 3 18 115 0
38 4 15 120 0
39 0 20 110 0
39 1 21 111 0
39 2 19 110 0
39 3 18 115 0
39 4 15 120 0
40 0 20 110 0
40 1 21 111 0
40 2 19 110 0
40 3 18 115 0
40 4 15 120 0
41 0 20 110 0
41 1 21 111 0
41 2 19 110 0
41 3 18 115 0
41 4 15 120 0
42 0 20 110 0
42 1 21 111 0
42 2 19 110 0
42 3 18 115 0
42 4 15 120 0
43 0 20 110 0
43 1 21 111 0
43 2 19 110 0
43 3 18 115 0
43 4 15 120 0
44 0 20 110 0
44 1 21 111 0
44 2 19 110 0
44 3 18 115 0
44 4 15 120 0
45 0 20 110 0
45 1 21 111 0
45 2 19 110 0
45 3 18 115 0
45 4 15 120 0
46 0 20 110 0
46 1 21 111 0
46 2 19 110 0
46 3 18 115 0
46 4 15 120 0
47 0 20 110 0
47 1 21 111 0
47 2 19 110 0
47 3 18 115 0
47 4 15 120 0
48 0 20 110 0
48 1 21 111 0
48 2 19 110 0
48 3 18 115 0
48 4 15 120 0
49 0 20 110 0
49 1 21 111 0
49 2 19 110 0
49 3 18 115 0
49 4 15 120 0
50 0 20 110 0
50 1 21 111 0
50 2 19 110 0
50 3 18 115 0
50 4 15 120 0
51 0 20 110 0
51 1 21 111 0
51 2 19 110 0
51 3 18 115 0
51 4 15 120 0
52 0 20 110 0
52 1 21 111 0
52 2 19 110 0
52 3 18 115 0
52 4 15 120 0
53 0 20 110 0
53 1 21 111 0
53 2 19 110 0
53 3 18 115 0
53 4 15 120 0
54 0 20 110 0
54 1 21 111 0
54 2 19 110 0
54 3 18 115 0
54 4 15 120 0
55 0 20 110 0
55 1 21 111 0
55 2 19 110 0
55 3 18 115 0
55 4 15 120 0
56 0 20 110 0
56 1 21 111 0
56 2 19 110 0
56 3 18 115 0
56 4 15 120 0
57 0 20 110 0
57 1 21 111 0
57 2 19 110 0
57 3 18 115 0
57 4 15 120 0
58 0 20 110 0
58 1 21 111 0
58 2 19 110 0
58 3 18 115 0
58 4 15 120 0
59 0 20 110 0
59 1 21 111 0
59 2 19 110 0
59 3 18 115 0
59 4 15 120 0
60 0 20 110 0
60 1 21 111 0
60 2 19 110 0
60 3 18 115 0
60 4 15 120 0
61 0 20 110 0
61 1 21 111 0
61 2 19 110 0
61 3 18 115 0
61 4 15 120 0
62 0 20 110 0
62 1 21 111 0
62 2 19 110 0
62 3 18 115 0
62 4 15 120 0
63 0 20 110 0
63 1 21 111 0
63 2 19 110 0
63 3 18 115 0
63 4 15 120 0
64 0 20 110 0
64 1 21 111 0
64 2 19 110 0
64 3 18 115 0
64 4 15 120 0
65 0 20 110 0
65 1 21 111 0
65 2 19 110 0
65 3 18 115 0
65 4 15 120 0
66 0 20 110 0
66 1 21 111 0
66 2 19 110 0
66 3 18 115 0
66 4 15 120 0
67 0 20 110 0
67 1 21 111 0
67 2 19 110 0
67 3 18 115 0
67 4 15 120 0
68 0 20 110 0
68 1 21 111 0
68 2 19 110 0
68 3 18 115 0
68 4 15 120 0
69 0 20 110 0
69 1 21 111 0
69 2 19 110 0
69 3 18 115 0
69 4 15 120 0
70 0 20 110 0
70 1 21 111 0
70 2 19 110 0
70 3 18 115 0
70 4 15 120 0
71 0 20 110 0
71 1 21 111 0
71 2 19 110 0
71 3 18 115 0
71 4 15 120 0
72 0 20 110 0
72 1 21 111 0
72 2 19 110 0
72 3 18 115 0
72 4 15 120 0
73 0 20 110 0
73 1 21 111 0
73 2 19 110 0
73 3 18 115 0
73 4 15 120 0
74 0 20 110 0
74 1 21 111 0
74 2 19 110 0
74 3 18 115 0
74 4 15 120 0
75 0 20 110 0
75 1 21 111 0
75 2 19 110 0
75 3 18 115 0
75 4 15 120 0
76 0 20 110 0
76 1 21 111 0
76 2 19 110 0
76 3 18 115 0
76 4 15 120 0
77 0 20 110 0
77 1 21 111 0
77 2 19 110 0
77 3 18 115 0
77 4 15 120 0
78 0 20 110 0
78 1 21 111 0
78 2 19 110 0
78 3 18 115 0
78 4 15 120 0
79 0 20 110 0
79 1 21 111 0
79 2 19 110 0
79 3 18 115 0
79 4 15 120 0
80 0 20 110 0
80 1 21 111 0
80 2 19 110 0
80 3 18 115 0
80 4 15 120 0
81 0 20 110 0
81 1 21 111 0
81 2 19 110 0
81 3 18 115 0
81 4 15 120 0
82 0 20 110 0
82 1 21 111 0
82 2 19 110 0
82 3 18 115 0
82 4 15 120 0
83 0 20 110 0
83 1 21 111 0
83 2 19 110 0
83 3 18 115 0
83 4 15 120 0
84 0 20 110 0
84 1 21 111 0
84 2 19 110 0
84 3 18 115 0
84 4 15 120 0
85 0 20 110 0
85 1 21 111 0
85 2 19 110 0
85 3 18 115 0
85 4 15 120 0
86 0 20 110 0
86 1 21 111 0
86 2 19 110 0
86 3 18 115 0
86 4 15 120 0
87 0 20 110 0
87 1 21 111 0
87 2 19 110 0
87 3 18 115 0
87 4 15 120 0
88 0 20 110 0
88 1 21 111 0
88 2 19 110 0
88 3 18 115 0
88 4 15 120 0
89 0 20 110 0
89 1 21 111 0
89 2 19 110 0
89 3 18 115 0
89 4 15 120 0
90 0 20 110 0
90 1 21 111 0
90 2 19 110 0
90 3 18 115 0
90 4 15 120 0
91 0 20 110 0
91 1 21 111 0
91 2 19 110 0
91 3 18 115 0
91 4 15 120 0
92 0 20 110 0
92 1 21 111 0
92 2 19 110 0
92 3 18 115 0
92 4 15 120 0
93 0 20 110 0
93 1 21 111 0
93 2 19 110 0
93 3 18 115 0
93 4 15 120 0
94 0 20 110 0
94 1 21 111 0
94 2 19 110 0
94 3 18 115 0
94 4 15 120 0
95 0 20 110 0
95 1 21 111 0
95 2 19 110 0
95 3 18 115 0
95 4 15 120 0
96 0 20 110 0
96 1 21 111 0
96 2 19 110 0
96 3 18 115 0
96 4 15 120 0
97 0 20 110 0
97 1 21 111 0
97 2 19 110 0
97 3 18 115 0
97 4 15 120 0
98 0 20 110 0
98 1 21 111 0
98 2 19 110 0
98 3 18 115 0
98 4 15 120 0
99 0 20 110 0
99 1 21 111 0
99 2 19 110 0
99 3 18 115 0
99 4 15 120 0
% output_type: 'OUTPUT_TYPE_SCATTER'
% log_source: 'SimulationHelper::ProgressCb'
% time_sec ut_id latitude_deg longitude_deg altitude_m
1 0 20 110 0
1 1 21 111 0
1 2 19 110 0
1 3 18 115 0
1 4 15 120 0
2 0 20 110 0
2 1 21 111 0
2 2 19 110 0
2 3 18 115 0
2 4 15 120 0
3 0 20 110 0
3 1 21 111 0
3 2 19 110 0
3 3 18 115 0
3 4 15 120 0
4 0 20 110 0
4 1 21 111 0
4 2 19 110 0
4 3 18 115 0
4 4 15 120 0
5 0 20 110 0
5 1 21 111 0
5 2 19 110 0
5 3 18 115 0
5 4 15 120 0
6 0 20 110 0
6 1 21 111 0
6 2 19 110 0
6 3 18 115 0
6 4 15 120 0
7 0 20 110 0
7 1 21 111 0
7 2 19 110 0
7 3 18 115 0
7 4 15 120 0
8 0 20 110 0
8 1 21 111 0
8 2 19 110 0
8 3 18 115 0
8 4 15 120 0
9 0 20 110 0
9 1 21 111 0
9 2 19 110 0
9 3 18 115 0
9 4 15 120 0
10 0 20 110 0
10 1 21 111 0
10 2 19 110 0
10 3 18 115 0
10 4 15 120 0
11 0 20 110 0
11 1 21 111 0
11 2 19 110 0
11 3 18 115 0
11 4 15 120 0
12 0 20 110 0
12 1 21 111 0
12 2 19 110 0
12 3 18 115 0
12 4 15 120 0
13 0 20 110 0
13 1 21 111 0
13 2 19 110 0
13 3 18 115 0
13 4 15 120 0
14 0 20 110 0
14 1 21 111 0
14 2 19 110 0
14 3 18 115 0
14 4 15 120 0
15 0 20 110 0
15 1 21 111 0
15 2 19 110 0
15 3 18 115 0
15 4 15 120 0
16 0 20 110 0
16 1 21 111 0
16 2 19 110 0
16 3 18 115 0
16 4 15 120 0
17 0 20 110 0
17 1 21 111 0
17 2 19 110 0
17 3 18 115 0
17 4 15 120 0
18 0 20 110 0
18 1 21 111 0
18 2 19 110 0
18 3 18 115 0
18 4 15 120 0
19 0 20 110 0
19 1 21 111 0
19 2 19 110 0
19 3 18 115 0
19 4 15 120 0
20 0 20 110 0
20 1 21 111 0
20 2 19 110 0
20 3 18 115 0
20 4 15 120 0
21 0 20 110 0
21 1 21 111 0
21 2 19 110 0
21 3 18 115 0
21 4 15 120 0
22 0 20 110 0
22 1 21 111 0
22 2 19 110 0
22 3 18 115 0
22 4 15 120 0
23 0 20 110 0
23 1 21 111 0
23 2 19 110 0
23 3 18 115 0
23 4 15 120 0
24 0 20 110 0
24 1 21 111 0
24 2 19 110 0
24 3 18 115 0
24 4 15 120 0
25 0 20 110 0
25 1 21 111 0
25 2 19 110 0
25 3 18 115 0
25 4 15 120 0
26 0 20 110 0
26 1 21 111 0
26 2 19 110 0
26 3 18 115 0
26 4 15 120 0
27 0 20 110 0
27 1 21 111 0
27 2 19 110 0
27 3 18 115 0
27 4 15 120 0
28 0 20 110 0
28 1 21 111 0
28 2 19 110 0
28 3 18 115 0
28 4 15 120 0
29 0 20 110 0
29 1 21 111 0
29 2 19 110 0
29 3 18 115 0
29 4 15 120 0
30 0 20 110 0
30 1 21 111 0
30 2 19 110 0
30 3 18 115 0
30 4 15 120 0
31 0 20 110 0
31 1 21 111 0
31 2 19 110 0
31 3 18 115 0
31 4 15 120 0
32 0 20 110 0
32 1 21 111 0
32 2 19 110 0
32 3 18 115 0
32 4 15 120 0
33 0 20 110 0
33 1 21 111 0
33 2 19 110 0
33 3 18 115 0
33 4 15 120 0
34 0 20 110 0
34 1 21 111 0
34 2 19 110 0
34 3 18 115 0
34 4 15 120 0
35 0 20 110 0
35 1 21 111 0
35 2 19 110 0
35 3 18 115 0
35 4 15 120 0
36 0 20 110 0
36 1 21 111 0
36 2 19 110 0
36 3 18 115 0
36 4 15 120 0
37 0 20 110 0
37 1 21 111 0
37 2 19 110 0
37 3 18 115 0
37 4 15 120 0
38 0 20 110 0
38 1 21 111 0
38 2 19 110 0
38 3 18 115 0
38 4 15 120 0
39 0 20 110 0
39 1 21 111 0
39 2 19 110 0
39 3 18 115 0
39 4 15 120 0
40 0 20 110 0
40 1 21 111 0
40 2 19 110 0
40 3 18 115 0
40 4 15 120 0
41 0 20 110 0
41 1 21 111 0
41 2 19 110 0
41 3 18 115 0
41 4 15 120 0
42 0 20 110 0
42 1 21 111 0
42 2 19 110 0
42 3 18 115 0
42 4 15 120 0
43 0 20 110 0
43 1 21 111 0
43 2 19 110 0
43 3 18 115 0
43 4 15 120 0
44 0 20 110 0
44 1 21 111 0
44 2 19 110 0
44 3 18 115 0
44 4 15 120 0
45 0 20 110 0
45 1 21 111 0
45 2 19 110 0
45 3 18 115 0
45 4 15 120 0
46 0 20 110 0
46 1 21 111 0
46 2 19 110 0
46 3 18 115 0
46 4 15 120 0
47 0 20 110 0
47 1 21 111 0
47 2 19 110 0
47 3 18 115 0
47 4 15 120 0
48 0 20 110 0
48 1 21 111 0
48 2 19 110 0
48 3 18 115 0
48 4 15 120 0
49 0 20 110 0
49 1 21 111 0
49 2 19 110 0
49 3 18 115 0
49 4 15 120 0
50 0 20 110 0
50 1 21 111 0
50 2 19 110 0
50 3 18 115 0
50 4 15 120 0
51 0 20 110 0
51 1 21 111 0
51 2 19 110 0
51 3 18 115 0
51 4 15 120 0
52 0 20 110 0
52 1 21 111 0
52 2 19 110 0
52 3 18 115 0
52 4 15 120 0
53 0 20 110 0
53 1 21 111 0
53 2 19 110 0
53 3 18 115 0
53 4 15 120 0
54 0 20 110 0
54 1 21 111 0
54 2 19 110 0
54 3 18 115 0
54 4 15 120 0
55 0 20 110 0
55 1 21 111 0
55 2 19 110 0
55 3 18 115 0
55 4 15 120 0
56 0 20 110 0
56 1 21 111 0
56 2 19 110 0
56 3 18 115 0
56 4 15 120 0
57 0 20 110 0
57 1 21 111 0
57 2 19 110 0
57 3 18 115 0
57 4 15 120 0
58 0 20 110 0
58 1 21 111 0
58 2 19 110 0
58 3 18 115 0
58 4 15 120 0
59 0 20 110 0
59 1 21 111 0
59 2 19 110 0
59 3 18 115 0
59 4 15 120 0
60 0 20 110 0
60 1 21 111 0
60 2 19 110 0
60 3 18 115 0
60 4 15 120 0
61 0 20 110 0
61 1 21 111 0
61 2 19 110 0
61 3 18 115 0
61 4 15 120 0
62 0 20 110 0
62 1 21 111 0
62 2 19 110 0
62 3 18 115 0
62 4 15 120 0
63 0 20 110 0
63 1 21 111 0
63 2 19 110 0
63 3 18 115 0
63 4 15 120 0
64 0 20 110 0
64 1 21 111 0
64 2 19 110 0
64 3 18 115 0
64 4 15 120 0
65 0 20 110 0
65 1 21 111 0
65 2 19 110 0
65 3 18 115 0
65 4 15 120 0
66 0 20 110 0
66 1 21 111 0
66 2 19 110 0
66 3 18 115 0
66 4 15 120 0
67 0 20 110 0
67 1 21 111 0
67 2 19 110 0
67 3 18 115 0
67 4 15 120 0
68 0 20 110 0
68 1 21 111 0
68 2 19 110 0
68 3 18 115 0
68 4 15 120 0
69 0 20 110 0
69 1 21 111 0
69 2 19 110 0
69 3 18 115 0
69 4 15 120 0
70 0 20 110 0
70 1 21 111 0
70 2 19 110 0
70 3 18 115 0
70 4 15 120 0
71 0 20 110 0
71 1 21 111 0
71 2 19 110 0
71 3 18 115 0
71 4 15 120 0
72 0 20 110 0
72 1 21 111 0
72 2 19 110 0
72 3 18 115 0
72 4 15 120 0
73 0 20 110 0
73 1 21 111 0
73 2 19 110 0
73 3 18 115 0
73 4 15 120 0
74 0 20 110 0
74 1 21 111 0
74 2 19 110 0
74 3 18 115 0
74 4 15 120 0
75 0 20 110 0
75 1 21 111 0
75 2 19 110 0
75 3 18 115 0
75 4 15 120 0
76 0 20 110 0
76 1 21 111 0
76 2 19 110 0
76 3 18 115 0
76 4 15 120 0
77 0 20 110 0
77 1 21 111 0
77 2 19 110 0
77 3 18 115 0
77 4 15 120 0
78 0 20 110 0
78 1 21 111 0
78 2 19 110 0
78 3 18 115 0
78 4 15 120 0
79 0 20 110 0
79 1 21 111 0
79 2 19 110 0
79 3 18 115 0
79 4 15 120 0
80 0 20 110 0
80 1 21 111 0
80 2 19 110 0
80 3 18 115 0
80 4 15 120 0
81 0 20 110 0
81 1 21 111 0
81 2 19 110 0
81 3 18 115 0
81 4 15 120 0
82 0 20 110 0
82 1 21 111 0
82 2 19 110 0
82 3 18 115 0
82 4 15 120 0
83 0 20 110 0
83 1 21 111 0
83 2 19 110 0
83 3 18 115 0
83 4 15 120 0
84 0 20 110 0
84 1 21 111 0
84 2 19 110 0
84 3 18 115 0
84 4 15 120 0
85 0 20 110 0
85 1 21 111 0
85 2 19 110 0
85 3 18 115 0
85 4 15 120 0
86 0 20 110 0
86 1 21 111 0
